Id,Name,Popularity,Followers,Genres
7vtSUU3zpHeYJfX6BPNrJd,Briston Maroney,66,165413,"indie pop, modern rock, nashville indie"
16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,82,4583203,"folk-pop, modern rock, pop, pop rock, stomp and holler"
02seUFsFQP7TH4hLrTj77o,Nathaniel Rateliff & The Night Sweats,64,504654,"modern blues rock, rock, roots rock, stomp and holler"
0XHiH53dHrvbwfjYM7en7I,Chris Cornell,65,1715342,"alternative metal, alternative rock, rock"
3TOqt5oJwL9BE2NG9MEwDa,Disturbed,77,5244154,"alternative metal, nu metal, rap metal"
3pT3KTodKJRyqpxoXINfQh,Betcha,48,18721,"hopebeat, modern alternative rock, nashville indie"
6ekYAO2D1JkI58CF4uRRqw,Tigercub,47,21047,"brighton indie, modern alternative rock, modern rock"
165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit,76,4541888,"alternative metal, funk metal, nu metal, rap metal"
6LHsnRBUYhFyt01PdKXAF5,Bob Moses,64,278173,"canadian electronic, canadian house"
74NBPbyyftqJ4SpDZ4c1Ed,Tom Morello,62,127170,"modern alternative rock, modern rock, rock"
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,79,4592821,"classic rock, heartland rock, mellow gold, permanent wave, rock, singer-songwriter"
0mXTJETA4XUa12MmmXxZJh,Eddie Vedder,67,1333106,"acoustic rock, permanent wave, rock"
72X6FHxaShda0XeQw3vbeF,Slowdive,63,518254,"alternative rock, art pop, dream pop, nu gaze, reading indie, rock, shoegaze"
3sWLSYm3MFYosc4AZhwajg,Ringo Deathstarr,42,52137,"american shoegaze, austindie, dream pop, dreamo, garage psych, noise pop, nu gaze, shoegaze"
3L58J6a7f0jyy2p6f3MSAs,Blind Channel,61,142341,"eurovision, oulu metal, trancecore"
2h3ooJn8m8X8cL2g1BZ1Rd,Yard Act,52,27523,"chamber psych, modern alternative rock, uk post-punk revival"
1CT7BjCVYK5vr9SNr7WlEP,Enola Gay,30,3212,uk post-punk revival
3WfJ1OtrWI7RViX9DMyEGy,Mayday Parade,66,1249007,"neon pop punk, pop emo, pop punk, rock"
4UXqAaa6dQYAk18Lv7PEgX,Fall Out Boy,82,9269084,"emo, modern rock, rock"
0EE0FUSX633ANADunRfZ9d,The Hope Conspiracy,31,14515,"boston hardcore, chaotic hardcore, melodic hardcore, straight edge"
4ITkzAQWPILwWpEWJxHB9g,Earth Crisis,36,38302,"hardcore, straight edge, vegan straight edge"
45eNHdiiabvmbp4erw26rg,ILLENIUM,77,1208886,"edm, melodic dubstep, pop, pop dance, tropical house"
4iDroUFo89Y7YBsdDTBmTD,Sueco,71,365235,"cali rap, pop rap"
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,88,7147334,"melodic rap, rap, trap"
4P70LmF7PJwBGS9BV5dk2c,CHASE WRIGHT,61,20581,"contemporary country, country, country pop"
0y2FPygoi6LVc75pxCgsMk,Conner Smith,58,9509,"contemporary country, country pop"
77kULmXAQ6vWer7IIHdGzI,Jordan Davis,73,552334,contemporary country
7x8nK0m0cP2ksQf0mjWdPS,Dierks Bentley,72,2705244,"contemporary country, country, country road"
39NR3AUhpbbqKM33vWn2fp,Brothers Osborne,68,940238,"contemporary country, country, country road, modern country rock, modern southern rock"
6tPHARSq45lQ8BSALCfkFC,Lainey Wilson,65,34568,"contemporary country, country pop"
4Uux6BdaCNrVFQ0bqGRtfh,Randall King,54,43539,texas country
3OftZbLfcqulxWNZMX8zLI,Wade Bowen,54,129079,"outlaw country, red dirt, texas country"
4YLtscXsxbVgi031ovDDdh,Chris Stapleton,81,3980074,"contemporary country, outlaw country"
4WCpgJFxAdAsm4FSD9CAfX,Sarah Darling,44,34373,"contemporary country, country dawn, country pop, modern country rock"
6CegFHnUqJcOBipgphZ2CJ,Travis Denning,62,38433,"contemporary country, country, country pop"
5iqStkZi6QmG8sgQZQrfGN,Danielle Bradbery,63,246123,"contemporary country, country, country pop"
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,78,2519143,"contemporary country, country, pop"
6WY7D3jk8zTrHtmkqqo5GI,Maren Morris,77,624253,"contemporary country, country, pop, texas country"
5Zq7R5qmi58ByYyBQTlNuk,Lee Brice,73,1661423,"contemporary country, country, country road, modern country rock"
718COspgdWOnwOFpJHRZHS,Luke Combs,83,6077545,"contemporary country, country"
1FQXio7XougvCvKLIu0CCk,Tucker Beathard,48,50584,"contemporary country, country pop"
6pRi6EIPXz4QJEOEsBaA0m,Chris Tomlin,70,1517665,"ccm, christian alternative rock, christian music, world worship, worship"
3b8QkneNDz4JHKKKlLgYZg,Florida Georgia Line,79,4630639,"contemporary country, country, country pop, country road, modern country rock"
5vngPClqofybhPERIqQMYd,George Strait,75,2927977,"contemporary country, country, country road, country rock"
2bA6fzP0lMAQ4kz6CF61w8,Toby Keith,71,1639014,"contemporary country, country, country road, oklahoma country"
7GD3LkyvAOcPgtrXeFc73p,Eddie Montgomery,38,1135,
4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,74,3840896,"album rock, blues rock, classic rock, country rock, hard rock, mellow gold, rock, southern rock"
